Ticker,Sector,Industry,CompanyName
TXN,Technology,Semiconductors,Texas Instruments Incorporated
TPL,Energy,Oil & Gas E&P,Texas Pacific Land Corporation
TXT,Industrials,Aerospace & Defense,Textron Inc.
TMO,Healthcare,Diagnostics & Research,Thermo Fisher Scientific Inc.
TJX,Consumer Cyclical,Apparel Retail,"The TJX Companies, Inc."
TSCO,Consumer Cyclical,Specialty Retail,Tractor Supply Company
TT,Industrials,Building Products & Equipment,Trane Technologies plc
TDG,Industrials,Aerospace & Defense,TransDigm Group Incorporated
TRV,Financial Services,Insurance - Property & Casualty,"The Travelers Companies, Inc."
TRMB,Technology,Scientific & Technical Instruments,Trimble Inc.
TFC,Financial Services,Banks - Regional,Truist Financial Corporation
TYL,Technology,Software - Application,"Tyler Technologies, Inc."
TSN,Consumer Defensive,Farm Products,"Tyson Foods, Inc."
USB,Financial Services,Banks - Regional,U.S. Bancorp
UBER,Technology,Software - Application,"Uber Technologies, Inc."
UDR,Real Estate,REIT - Residential,"UDR, Inc."
ULTA,Consumer Cyclical,Specialty Retail,"Ulta Beauty, Inc."
UNP,Industrials,Railroads,Union Pacific Corporation
UAL,Industrials,Airlines,"United Airlines Holdings, Inc."
UPS,Industrials,Integrated Freight & Logistics,"United Parcel Service, Inc."
URI,Industrials,Rental & Leasing Services,"United Rentals, Inc."
UNH,Healthcare,Healthcare Plans,UnitedHealth Group Incorporated
UHS,Healthcare,Medical Care Facilities,"Universal Health Services, Inc."
VLO,Energy,Oil & Gas Refining & Marketing,Valero Energy Corporation
VTR,Real Estate,REIT - Healthcare Facilities,"Ventas, Inc."
VLTO,Industrials,Pollution & Treatment Controls,Veralto Corporation
VRSN,Technology,Software - Infrastructure,"VeriSign, Inc."
VRSK,Industrials,Consulting Services,"Verisk Analytics, Inc."
VZ,Communication Services,Telecom Services,Verizon Communications Inc.
VRTX,Healthcare,Biotechnology,Vertex Pharmaceuticals Incorporated
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,Viatris Inc.
VICI,Real Estate,REIT - Diversified,VICI Properties Inc.
V,Financial Services,Credit Services,Visa Inc.
VST,Utilities,Utilities - Independent Power Producers,Vistra Corp.
VMC,Basic Materials,Building Materials,Vulcan Materials Company
WRB,Financial Services,Insurance - Property & Casualty,W. R. Berkley Corporation
GWW,Industrials,Industrial Distribution,"W.W. Grainger, Inc."
WAB,Industrials,Railroads,Westinghouse Air Brake Technologies Corporation
WBA,Healthcare,Pharmaceutical Retailers,"Walgreens Boots Alliance, Inc."
WMT,Consumer Defensive,Discount Stores,Walmart Inc.
DIS,Communication Services,Entertainment,The Walt Disney Company
WBD,Communication Services,Entertainment,"Warner Bros. Discovery, Inc."
WM,Industrials,Waste Management,"Waste Management, Inc."
WAT,Healthcare,Diagnostics & Research,Waters Corporation
WEC,Utilities,Utilities - Regulated Electric,"WEC Energy Group, Inc."
WFC,Financial Services,Banks - Diversified,Wells Fargo & Company
WELL,Real Estate,REIT - Healthcare Facilities,Welltower Inc.
WST,Healthcare,Medical Instruments & Supplies,"West Pharmaceutical Services, Inc."
WDC,Technology,Computer Hardware,Western Digital Corporation
WY,Real Estate,REIT - Specialty,Weyerhaeuser Company
WMB,Energy,Oil & Gas Midstream,"The Williams Companies, Inc."
WTW,Financial Services,Insurance Brokers,Willis Towers Watson Public Limited Company
WYNN,Consumer Cyclical,Resorts & Casinos,"Wynn Resorts, Limited"
XEL,Utilities,Utilities - Regulated Electric,Xcel Energy Inc.
XYL,Industrials,Specialty Industrial Machinery,Xylem Inc.
YUM,Consumer Cyclical,Restaurants,"Yum! Brands, Inc."
ZBRA,Technology,Communication Equipment,Zebra Technologies Corporation
ZBH,Healthcare,Medical Devices,"Zimmer Biomet Holdings, Inc."
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,Zoetis Inc.
